# Phase 5g-0: every AD_Process in the seed dictionary, classified by how
# it executes.
#
# Only `java-process` rows are eligible for the Phase 5g-1e write/process
# fixture. `report` rows belong to Phase 5g-2, `workflow` rows to the
# document increments, and `declaration-only` rows execute nothing.
#
# Generated by scripts/phase5/generate-phase5g-inventories.py from
# db/ddlutils/adempiere-data.xml. Do not hand-edit.
ad_process_id	value	name	entity_type	is_active	execution_class	classname	procedure_name	reason
125	RV_T_Replenish	Replenish Report	D	Y	report	org.compiere.process.ReplenishReport	-	IsReport=Y or a JasperReport is declared
126	R_Order_DrillDown	Order Drilldown	D	N	report	org.compiere.report.OrderDrillDown	-	IsReport=Y or a JasperReport is declared
127	RV_C_Invoice (Acct)	Invoice Transactions (Acct)	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
128	RV_C_Invoice_Day	Daily Invoice	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
129	RV_C_Invoice_Month	Monthly Invoice	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
130	RV_C_Invoice_Week	Weekly Invoice	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
131	RV_C_Invoice_ProdWeek	Weekly Invoice Prod Cat	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
132	RV_C_Invoice_ProdMonth	Monthly Invoice Prod Cat	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
133	RV_C_Invoice_VendorMonth	Monthly Invoice Vendor	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
134	C_Invoice_Generate (manual)	Generate Invoices (manual)	D	Y	java-process	org.compiere.process.InvoiceGenerate	-	Classname is set and no report/workflow overrides it
135	AD_ImpFormat Copy	Copy Lines	D	Y	java-process	org.compiere.impexp.CopyImportFormat	-	Classname is set and no report/workflow overrides it
136	PP_Product_BOM	Verify BOM	D	Y	java-process	org.eevolution.process.PP_Product_BOM_Check	-	Classname is set and no report/workflow overrides it
137	M_Production	Create/Post Production	D	Y	java-process	org.compiere.process.M_Production_Run	-	Classname is set and no report/workflow overrides it
138	RV_C_Invoice_CustomerProdQtr	Quarterly Invoice Customer by Product	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
139	RV_C_Invoice_CustomerVendQtr	Quarterly Invoice Customer by Vendor	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
140	M_Product_Category_Acct_Copy	Copy Accounts	D	Y	java-process	org.compiere.process.ProductCategoryAcctCopy	-	Classname is set and no report/workflow overrides it
142	C_Invoice_CreateInOut	Generate Receipt from Invoice	D	Y	java-process	org.compiere.process.InvoiceCreateInOut	-	Classname is set and no report/workflow overrides it
144	C_Cash Process	Process Cash	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
145	RV_Open Items	Open Items	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
146	RV_UnReconciled Payments	UnReconciled Payments	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
147	C_BankStatement_Process	Process Statement	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
148	RV_Payment_Allocation	Allocation	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
149	C_Payment_Process	Process Payment	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
150	C_Allocation_Process	Process Allocation	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
151	RV_C_Invoice (Trx)	Invoice Transactions (Doc)	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
152	RV_C_InvoiceLine	Invoice Detail & Margin	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
153	C_Payment Online	Online Process	D	Y	java-process	org.compiere.process.PaymentOnline	-	Classname is set and no report/workflow overrides it
154	M_InOut_CreateInvoice	Generate Invoice from Receipt	D	Y	java-process	org.compiere.process.InOutCreateInvoice	-	Classname is set and no report/workflow overrides it
155	C_PaySelection_CreatePayment	Prepare Payment	D	Y	java-process	org.compiere.process.PaySelectionCreateCheck	-	Classname is set and no report/workflow overrides it
156	C_PaySelection_CreateFrom	Create From ...	D	Y	java-process	org.compiere.process.PaySelectionCreateFrom	-	Classname is set and no report/workflow overrides it
159	Rpt C_Dunning	Dunning Letter	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
161	RV_M_Transaction	Product Transaction Value	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
162	R_ProjectStatus	Project Status Summary	D	N	report	org.compiere.report.ProjectStatus	-	IsReport=Y or a JasperReport is declared
164	C_Project_Generate	Generate Order	D	Y	java-process	org.compiere.process.ProjectGenOrder	-	Classname is set and no report/workflow overrides it
165	C_Commission_Copy	Copy Lines	D	Y	java-process	org.compiere.process.CommissionCopy	-	Classname is set and no report/workflow overrides it
166	C_CommissionRun_Process	Create Invoice	D	Y	java-process	org.compiere.process.CommissionAPInvoice	-	Classname is set and no report/workflow overrides it
167	C_Period_Process	Open/Close All	D	Y	java-process	org.compiere.process.PeriodStatus	-	Classname is set and no report/workflow overrides it
168	C_PeriodControl_Process	Open/Close	D	Y	java-process	org.compiere.process.PeriodControlStatus	-	Classname is set and no report/workflow overrides it
169	GL_Journal_Process	Process Journal	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
170	RV_Cash_Detail	Cash Journal Detail	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
171	C_Invoice_WriteOff	Receivables Write-Off	D	Y	java-process	org.compiere.process.InvoiceWriteOff	-	Classname is set and no report/workflow overrides it
172	AD_Synchronize	Synchronize Terminology	D	Y	java-process	org.compiere.process.SynchronizeTerminology	-	Classname is set and no report/workflow overrides it
173	AD_Table_CreateColumns	Create Columns from DB	D	Y	java-process	org.compiere.process.TableCreateColumns	-	Classname is set and no report/workflow overrides it
174	AD_Tab_CreateFields	Create Fields	D	Y	java-process	org.compiere.process.TabCreateFields	-	Classname is set and no report/workflow overrides it
175	Fact_Acct_Reset	Resubmit Posting	D	Y	java-process	org.compiere.process.FactAcctReset	-	Classname is set and no report/workflow overrides it
176	Fact_Acct_Reset DELETE	Reset Accounting	D	Y	java-process	org.compiere.process.FactAcctReset	-	Classname is set and no report/workflow overrides it
179	AD_Language_Maintain	Language Maintenance	D	Y	java-process	org.compiere.install.LanguageMaintenance	-	Classname is set and no report/workflow overrides it
180	InventoryValue	Inventory Valuation Report	D	Y	report	org.compiere.process.InventoryValue	-	IsReport=Y or a JasperReport is declared
181	AD_Column Sync	Synchronize Column	D	Y	java-process	org.compiere.process.ColumnSync	-	Classname is set and no report/workflow overrides it
182	M_Cost_Update	Standard Cost Update	D	Y	java-process	org.compiere.process.CostUpdate	-	Classname is set and no report/workflow overrides it
183	RV_Product_Costing	Product Costing Report (old)	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
184	S_TimeExpense_Process	Process Expenses	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
185	DBA_Recompile	Recompile DB Objects	D	Y	sql-procedure	-	DBA_Recompile	ProcedureName is set with no Java class
186	S_ExpenseSOrder	Create Sales Orders from Expense	D	Y	java-process	org.compiere.process.ExpenseSOrder	-	Classname is set and no report/workflow overrides it
187	S_ExpenseAPInvoice	Create AP Expense Invoices	D	Y	java-process	org.compiere.process.ExpenseAPInvoice	-	Classname is set and no report/workflow overrides it
188	GL_JournalBatch_Process	Process Batch	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
189	PA_ReportColumnSet_Copy	Copy Columns	D	Y	java-process	org.compiere.process.ReportColumnSet_Copy	-	Classname is set and no report/workflow overrides it
190	PA_ReportLineSet_Copy	Copy Lines	D	Y	java-process	org.compiere.process.ReportLineSet_Copy	-	Classname is set and no report/workflow overrides it
191	AD_PrintPaper_Default	Set Print Format	D	Y	java-process	org.compiere.process.AD_PrintPaper_Default	-	Classname is set and no report/workflow overrides it
192	AD_PrintFormat_Copy	Copy/Create	D	Y	java-process	org.compiere.print.MPrintFormatProcess	-	Classname is set and no report/workflow overrides it
193	C_Order PO_Create	Generate PO from Sales Order	D	Y	java-process	org.compiere.process.OrderPOCreate	-	Classname is set and no report/workflow overrides it
194	Import_BPartner	Import Business Partners	D	Y	java-process	org.compiere.process.ImportBPartner	-	Classname is set and no report/workflow overrides it
195	R_Request_ReOpen	Reopen Request	D	Y	java-process	org.compiere.process.RequestReOpen	-	Classname is set and no report/workflow overrides it
196	Import_Product	Import Products	D	Y	java-process	org.compiere.process.ImportProduct	-	Classname is set and no report/workflow overrides it
197	Import_Account	Import Accounts	D	Y	java-process	org.compiere.process.ImportAccount	-	Classname is set and no report/workflow overrides it
198	Import_ReportLine	Import Report Line Set	D	Y	java-process	org.compiere.process.ImportReportLine	-	Classname is set and no report/workflow overrides it
199	M_InOut_Generate (manual)	Generate Shipments (manual)	D	Y	java-process	org.compiere.process.InOutGenerate	-	Classname is set and no report/workflow overrides it
200	C_Invoice_Print	Print Invoices	D	Y	java-process	org.compiere.process.InvoicePrint	-	Classname is set and no report/workflow overrides it
201	Asset_Delivery	Deliver Assets	D	Y	java-process	org.compiere.process.AssetDelivery	-	Classname is set and no report/workflow overrides it
202	FinReport	Create Report	D	Y	report	org.compiere.report.FinReport	-	IsReport=Y or a JasperReport is declared
203	Balance_Update	Update Accounting Balance	D	N	report	org.compiere.report.FinBalance	-	IsReport=Y or a JasperReport is declared
204	FinStatement	Statement of Accounts	D	Y	report	org.compiere.report.FinStatement	-	IsReport=Y or a JasperReport is declared
205	Cache Reset	Cache Reset	D	Y	java-process	org.compiere.process.CacheReset	-	Classname is set and no report/workflow overrides it
206	Import_Order	Import Orders	D	Y	java-process	org.compiere.process.ImportOrder	-	Classname is set and no report/workflow overrides it
207	Import_Invoice	Import Invoice	D	Y	java-process	org.compiere.process.ImportInvoice	-	Classname is set and no report/workflow overrides it
208	AD_Replication Run	Start Replication Run	D	Y	java-process	org.compiere.process.ReplicationLocal	-	Classname is set and no report/workflow overrides it
209	R_MailText Send	Send Mail Text	D	Y	java-process	org.compiere.process.SendMailText	-	Classname is set and no report/workflow overrides it
210	C_Invoice CopyFrom	Copy Lines	D	Y	java-process	org.compiere.process.CopyFromInvoice	-	Classname is set and no report/workflow overrides it
211	C_Order CopyFrom	Copy Lines	D	Y	java-process	org.compiere.process.CopyFromOrder	-	Classname is set and no report/workflow overrides it
212	C_Project CopyFrom	Copy Details	D	Y	java-process	org.compiere.process.CopyFromProject	-	Classname is set and no report/workflow overrides it
213	C_Recurring Run	Start Process	D	Y	java-process	org.compiere.process.Recurring	-	Classname is set and no report/workflow overrides it
214	GL_JournalBatch CopyFrom	Copy Details	D	Y	java-process	org.compiere.process.CopyFromJournal	-	Classname is set and no report/workflow overrides it
215	C_Project_SetType	Set Project Type	D	Y	java-process	org.compiere.process.ProjectSetType	-	Classname is set and no report/workflow overrides it
216	C_ProjectPhase_Generate	Generate Order	D	Y	java-process	org.compiere.process.ProjectPhaseGenOrder	-	Classname is set and no report/workflow overrides it
217	Rpt C_Project	Project Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
218	RV_ProjectCycle	Project Cycle Report	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
219	Import_Inventory	Import Inventory	D	Y	java-process	org.compiere.process.ImportInventory	-	Classname is set and no report/workflow overrides it
220	Import_GLJournal	Import Journal	D	Y	java-process	org.compiere.process.ImportGLJournal	-	Classname is set and no report/workflow overrides it
221	Import_BankStatement	Import Bank Statement	D	Y	java-process	org.compiere.process.ImportBankStatement	-	Classname is set and no report/workflow overrides it
222	RV_Asset_Customer	Customer Assets	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
223	RV_Asset_Delivery	Asset Delivery Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
224	C_Project_Issue	Issue to Project	D	Y	java-process	org.compiere.process.ProjectIssue	-	Classname is set and no report/workflow overrides it
225	C_Project_GeneratePO	Generate PO from Project	D	Y	java-process	org.compiere.process.ProjectGenPO	-	Classname is set and no report/workflow overrides it
226	RV_Project Accounting	Project Detail Accounting Report	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
227	C_Project Close	Close Project	D	Y	java-process	org.compiere.process.ProjectClose	-	Classname is set and no report/workflow overrides it
228	RV_ProjectLine Not Issued	Project Lines not Issued	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
229	RV_ProjectLine Not Received POs	Project POs not Issued	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
230	C_ProjectLine Pricing	Get Price	D	Y	java-process	org.compiere.process.ProjectLinePricing	-	Classname is set and no report/workflow overrides it
231	C_Order QuoteCopy	Quote convert	D	Y	java-process	org.compiere.process.CopyOrder	-	Classname is set and no report/workflow overrides it
232	C_Order RePrice	RePrice Order/Invoice	D	Y	java-process	org.compiere.process.OrderRePrice	-	Classname is set and no report/workflow overrides it
233	C_DocumentType Verify	Verify Document Types	D	Y	java-process	org.compiere.process.DocumentTypeVerify	-	Classname is set and no report/workflow overrides it
234	RV_ProjectLineIssue	Project Margin (Work Order)	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
235	AD_Tree Verify	Verify Tree	D	Y	java-process	org.compiere.process.TreeMaintenance	-	Classname is set and no report/workflow overrides it
236	RV_Storage	Storage Detail	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
237	RV_Transaction	Transaction Detail	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
238	RV_T_Aging	Aging	D	Y	report	org.compiere.process.Aging	-	IsReport=Y or a JasperReport is declared
239	RV_Click_Month	Clicks Monthy	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
240	RV_Click_Unprocessed	Clicks Unprocessed	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
241	AD_NoteDelete	Delete Notices	D	Y	java-process	org.compiere.process.NoteDelete	-	Classname is set and no report/workflow overrides it
242	C_InvoicePaySchedule Validate	Validate	D	Y	java-process	org.compiere.process.InvoicePayScheduleValidate	-	Classname is set and no report/workflow overrides it
243	C_PaymentTerm Validate	Validate	D	Y	java-process	org.compiere.process.PaymentTermValidate	-	Classname is set and no report/workflow overrides it
244	OrgOwnership Warehouse	Warehouse Organization	D	Y	java-process	org.compiere.process.OrgOwnership	-	Classname is set and no report/workflow overrides it
245	OrgOwnership Product	Product Organization	D	Y	java-process	org.compiere.process.OrgOwnership	-	Classname is set and no report/workflow overrides it
246	OrgOwnership BPartner	Business Partner Organization	D	Y	java-process	org.compiere.process.OrgOwnership	-	Classname is set and no report/workflow overrides it
247	Load_BankStatement	Load Bank Statement	D	Y	java-process	org.compiere.process.LoadBankStatement	-	Classname is set and no report/workflow overrides it
248	Import_Delete	Delete Import	D	Y	java-process	org.compiere.process.ImportDelete	-	Classname is set and no report/workflow overrides it
249	Import_ConversionRate	Import Conversion Rate	D	Y	java-process	org.compiere.process.ImportConversionRate	-	Classname is set and no report/workflow overrides it
250	AD_Registration	Register Now!	D	Y	java-process	org.compiere.process.RegisterSystem	-	Classname is set and no report/workflow overrides it
251	RV_C_InvoiceTax	Invoice Tax	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
252	RV_Fact_Acct	Accounting Fact Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
253	RV_Fact_Acct_Day	Accounting Fact Daily	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
254	RV_Fact_Acct_Period	Accounting Fact Period	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
255	C_Order Open	Reopen Order	D	Y	java-process	org.compiere.process.OrderOpen	-	Classname is set and no report/workflow overrides it
256	C_BankStatement Match	Match Bank Statement	D	Y	java-process	org.compiere.process.BankStatementMatcher	-	Classname is set and no report/workflow overrides it
257	C_BankStatement Payment	Create Payment	D	Y	java-process	org.compiere.process.BankStatementPayment	-	Classname is set and no report/workflow overrides it
258	AD_Sequence_Check	Sequence Check	D	Y	java-process	org.compiere.process.SequenceCheck	-	Classname is set and no report/workflow overrides it
259	M_DistributionList Create	Create Orders	D	Y	java-process	org.compiere.process.DistributionCreate	-	Classname is set and no report/workflow overrides it
260	C_BPartner Org Link	Link Organization	D	Y	java-process	org.compiere.process.BPartnerOrgLink	-	Classname is set and no report/workflow overrides it
261	C_RfQ_Create	Create & Invite	D	Y	java-process	org.compiere.process.RfQCreate	-	Classname is set and no report/workflow overrides it
262	C_RfQResponse_Invite	Invite & Remind	D	Y	java-process	org.compiere.process.RfQResponseInvite	-	Classname is set and no report/workflow overrides it
263	RV_C_RfQ_UnAnswered	RfQ Unanswered	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
264	RV_C_RfQResponse	RfQ Response	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
265	C_RfQ_ResponseRank	Rank Responses	D	Y	java-process	org.compiere.process.RfQResponseRank	-	Classname is set and no report/workflow overrides it
266	C_RfQ_CreatePO	Create Purchase Order	D	Y	java-process	org.compiere.process.RfQCreatePO	-	Classname is set and no report/workflow overrides it
267	C_RfQ_CreateSO	Create Sales Order	D	Y	java-process	org.compiere.process.RfQCreateSO	-	Classname is set and no report/workflow overrides it
268	C_RfQ_CopyLines	Copy Lines	D	Y	java-process	org.compiere.process.RfQCopyLines	-	Classname is set and no report/workflow overrides it
269	C_RfQ_Close	Close RfQ	D	Y	java-process	org.compiere.process.RfQClose	-	Classname is set and no report/workflow overrides it
270	RV_M_Requisition Open	Open Requisitions	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
271	M_DistributionRun Create	Create Orders	D	Y	java-process	org.compiere.process.DistributionRun	-	Classname is set and no report/workflow overrides it
272	C_BPartner Org UnLink	UnLink Business Partner Org	D	Y	java-process	org.compiere.process.BPartnerOrgUnLink	-	Classname is set and no report/workflow overrides it
273	M_Requisition_Process	Process Requisition	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
274	RV_Asset_SumMonth	Asset Delivery Month	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
275	C_DocTypeCounter Validate	Validate Document Type	D	Y	java-process	org.compiere.process.DocTypeCounterValidate	-	Classname is set and no report/workflow overrides it
276	Rpt C_RfQResponse	RfQ Response Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
277	C_RfQResponse_CComplete	Check Complete	D	Y	java-process	org.compiere.process.RfQResponseCComplete	-	Classname is set and no report/workflow overrides it
278	AD_WF_Activity_Manage	Manage Activity	D	Y	java-process	org.compiere.wf.WFActivityManage	-	Classname is set and no report/workflow overrides it
279	AD_WF_Process_Manage	Manage Process	D	Y	java-process	org.compiere.wf.WFProcessManage	-	Classname is set and no report/workflow overrides it
280	M_InOutConfirm_Process	Process Confirmation	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
281	M_InOut_CreateConfirm	Create Confirmation	D	Y	java-process	org.compiere.process.InOutCreateConfirm	-	Classname is set and no report/workflow overrides it
282	M_Package_Create	Create Package	D	Y	java-process	org.compiere.process.PackageCreate	-	Classname is set and no report/workflow overrides it
283	M_RMA_Process	Process RMA	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
284	RV_InOutLineConfirm Open	Open Confirmation Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
285	RV_InOutConfirm Open	Open Confirmations	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
286	M_MovementConfirm_Process	Process Confirmation	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
287	RV_PrintFormatDetail	Print Format Detail	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
288	AD_User_Password	Reset Password	D	Y	java-process	org.compiere.process.UserPassword	-	Classname is set and no report/workflow overrides it
289	C_DunningRun_Create	Create Dunning Run	D	Y	java-process	org.compiere.process.DunningRunCreate	-	Classname is set and no report/workflow overrides it
290	Rpt M_Movement	Inventory Move Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
291	Rpt M_Inventory	Physical Inventory Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
292	Rpt M_InOutConfirm	Shipment Confirmation	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
293	RV_InOutDetails Receive	Material Receipt Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
294	RV_InOutDetails Ship	Shipment Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
295	AD_Role_AccessUpdate	Role Access Update	D	Y	java-process	org.compiere.process.RoleAccessUpdate	-	Classname is set and no report/workflow overrides it
296	Import_InOutConfirm	Import Confirmations	D	Y	java-process	org.compiere.process.ImportInOutConfirm	-	Classname is set and no report/workflow overrides it
297	PA_SLA_Goal_Calculate	Capture + Calculate Measures	D	Y	java-process	org.compiere.sla.SLAGoalProcess	-	Classname is set and no report/workflow overrides it
298	PA_SLA_Measure_Calculate	Calculate Measures	D	Y	java-process	org.compiere.sla.SLAMeasureProcess	-	Classname is set and no report/workflow overrides it
299	GL_Distribution_Verify	Verify	D	Y	java-process	org.compiere.process.DistributionVerify	-	Classname is set and no report/workflow overrides it
300	M_MatchInv_Delete	Delete	D	Y	java-process	org.compiere.process.MatchInvDelete	-	Classname is set and no report/workflow overrides it
301	M_MatchPO_Delete	Delete	D	Y	java-process	org.compiere.process.MatchPODelete	-	Classname is set and no report/workflow overrides it
302	C_Allocation_Auto	Auto Allocation	D	Y	java-process	org.compiere.process.AllocationAuto	-	Classname is set and no report/workflow overrides it
303	C_Allocation_Reset	Reset Allocation	D	Y	java-process	org.compiere.process.AllocationReset	-	Classname is set and no report/workflow overrides it
304	AD_Workflow_Validate	Validate Workflow	D	Y	java-process	org.compiere.wf.WorkflowValidate	-	Classname is set and no report/workflow overrides it
305	AD_Workflow DocValue	Document Value based Workflows	D	Y	declaration-only	-	-	no Classname, ProcedureName, workflow or report
306	AD_ChangeLog_UnDo	Un-Do Changes	D	Y	java-process	org.compiere.process.ChangeLogProcess	-	Classname is set and no report/workflow overrides it
307	AD_ChangeLog_ReDo	Re-Do Changes	D	Y	java-process	org.compiere.process.ChangeLogProcess	-	Classname is set and no report/workflow overrides it
308	AD_ChangeLog_Custom	Reapply Customizations	D	Y	java-process	org.compiere.process.ChangeLogProcess	-	Classname is set and no report/workflow overrides it
309	AD_WF_ToClient	Workflow to Client	D	Y	java-process	org.compiere.wf.WorkflowMoveToClient	-	Classname is set and no report/workflow overrides it
310	FinTrialBalance	Trial Balance	D	Y	report	org.compiere.report.TrialBalance	-	IsReport=Y or a JasperReport is declared
311	M_Product_UOMConvert	Product UOM Convert	D	Y	java-process	org.compiere.process.ProductUOMConvert	-	Classname is set and no report/workflow overrides it
312	C_DunningPrint	Print Dunning Letters	D	Y	java-process	org.compiere.process.DunningPrint	-	Classname is set and no report/workflow overrides it
313	Rpt C_Payment	Payment Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
314	C_BPartner Validate	Validate Business Partner	D	Y	java-process	org.compiere.process.BPartnerValidate	-	Classname is set and no report/workflow overrides it
315	C_Order BatchProcess	Order Batch Process	D	Y	java-process	org.compiere.process.OrderBatchProcess	-	Classname is set and no report/workflow overrides it
316	C_Invoice NotAllocated	UnAllocated Invoices	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
317	C_Payment NotAllocated	UnAllocated Payments	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
318	RV_Payment	Payment Details	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
319	RV_BPartnerOpen	Business Partner Open	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
320	RV_CommissionRunDetail	Commission Run Detail	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
321	TranslationDocSync	Synchronize Doc Translation	D	Y	java-process	org.compiere.process.TranslationDocSync	-	Classname is set and no report/workflow overrides it
322	M_TransactionXRef	Material Reference	D	Y	report	org.compiere.process.TransactionXRef	-	IsReport=Y or a JasperReport is declared
323	C_InvoceBatch_Process	Create Invoices	D	Y	java-process	org.compiere.process.InvoiceBatchProcess	-	Classname is set and no report/workflow overrides it
324	R_RequestInvoice	Invoice Requests	D	Y	java-process	org.compiere.process.RequestInvoice	-	Classname is set and no report/workflow overrides it
325	M_StorageCleanup	Storage Cleanup	D	Y	java-process	org.compiere.process.StorageCleanup	-	Classname is set and no report/workflow overrides it
326	T_InvoiceNGL	Invoice Not Realized Gain/Loss	D	Y	report	org.compiere.process.InvoiceNGL	-	IsReport=Y or a JasperReport is declared
327	AD_Client EMailTest	Test EMail	D	Y	java-process	org.compiere.process.EMailTest	-	Classname is set and no report/workflow overrides it
